song_id,artist_individ,artist_name,track_name,artist_count,collab_artist,relationship,artist_x,artist_y,circle_y,streams
75,Gotye,"Gotye, Kimbra",Somebody That I Used To Know,2,Kimbra,Gotye-Kimbra,-844,-411,-411,1457139296
70,"Guns N' Roses","Guns N' Roses","Sweet Child O' Mine",1,"Guns N' Roses","Guns N' Roses-Guns N' Roses",829,-986,-986,1553497987
9,Halsey,"The Chainsmokers, Halsey",Closer,2,The Chainsmokers,Halsey-The Chainsmokers,-447,-857,-857,2591224264
9,Halsey,"The Chainsmokers, Halsey",Closer,2,Halsey,Halsey-Halsey,-447,-857,-857,2591224264
141,Halsey,"Halsey, BTS",Boy With Luv (feat. Halsey),2,Halsey,Halsey-Halsey,-447,-857,-857,1065580332
141,Halsey,"Halsey, BTS",Boy With Luv (feat. Halsey),2,BTS,BTS-Halsey,-447,-857,-857,1065580332
13,Harry Styles,Harry Styles,As It Was,1,Harry Styles,Harry Styles-Harry Styles,-406,911,911,2513188493
17,Harry Styles,Harry Styles,Watermelon Sugar,1,Harry Styles,Harry Styles-Harry Styles,-406,911,911,2322580122
81,Harry Styles,Harry Styles,Adore You,1,Harry Styles,Harry Styles-Harry Styles,-406,911,911,1439191367
150,Harry Styles,Harry Styles,Falling,1,Harry Styles,Harry Styles-Harry Styles,-406,911,911,1023187129
26,Hozier,Hozier,Take Me To Church,1,Hozier,Hozier-Hozier,999,138,138,2135158446
109,Huilen Toledo,"Juan Cruz Toledo, Huilen Toledo",traitor,2,Juan Cruz Toledo,Huilen Toledo-Juan Cruz Toledo,600,-554,-554,1230855859
109,Huilen Toledo,"Juan Cruz Toledo, Huilen Toledo",traitor,2,Huilen Toledo,Huilen Toledo-Huilen Toledo,600,-554,-554,1230855859
52,Iann Dior,"24kgoldn, Iann Dior",Mood (feat. Iann Dior),2,24kgoldn,24kgoldn-Iann Dior,-258,368,368,1699402402
52,Iann Dior,"24kgoldn, Iann Dior",Mood (feat. Iann Dior),2,Iann Dior,Iann Dior-Iann Dior,-258,368,368,1699402402
8,Imagine Dragons,Imagine Dragons,Believer,1,Imagine Dragons,Imagine Dragons-Imagine Dragons,97,-615,-615,2594040133
39,Imagine Dragons,Imagine Dragons,Demons,1,Imagine Dragons,Imagine Dragons-Imagine Dragons,97,-615,-615,1840364617
111,Imagine Dragons,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,Imagine Dragons,Imagine Dragons-Imagine Dragons,97,-615,-615,1223481149
111,Imagine Dragons,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,League of Legends,Imagine Dragons-League of Legends,97,-615,-615,1223481149
111,Imagine Dragons,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,JID,Imagine Dragons-JID,97,-615,-615,1223481149
111,Imagine Dragons,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,Arcane,Arcane-Imagine Dragons,97,-615,-615,1223481149
112,Imagine Dragons,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,Imagine Dragons,Imagine Dragons-Imagine Dragons,97,-615,-615,1223481149
112,Imagine Dragons,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,League of Legends,Imagine Dragons-League of Legends,97,-615,-615,1223481149
112,Imagine Dragons,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,Arcane,Arcane-Imagine Dragons,97,-615,-615,1223481149
82,J Balvin,"J Balvin, Bad Bunny",LA CANCIÓN,2,J Balvin,J Balvin-J Balvin,890,-351,-351,1435127549
82,J Balvin,"J Balvin, Bad Bunny",LA CANCIÓN,2,Bad Bunny,Bad Bunny-J Balvin,890,-351,-351,1435127549
45,J. Cole,J. Cole,No Role Modelz,1,J. Cole,J. Cole-J. Cole,-355,197,197,1791000570
111,JID,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,Imagine Dragons,Imagine Dragons-JID,-81,950,950,1223481149
111,JID,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,League of Legends,JID-League of Legends,-81,950,950,1223481149
111,JID,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,JID,JID-JID,-81,950,950,1223481149
111,JID,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,Arcane,Arcane-JID,-81,950,950,1223481149
41,Jack Harlow,"Jack Harlow, Lil Nas X",INDUSTRY BABY (feat. Jack Harlow),2,Jack Harlow,Jack Harlow-Jack Harlow,524,515,515,1814349763
